95 365.0
94 366.0
92 369.0
91 373.0
90 380.0
89 389.0
87 391.0
86 396.0
85 397.0
81 398.0
80 402.0
78 403.0
76 409.0
71 411.0
70 412.0
68 418.0
67 423.0
66 432.0
65 449.0
63 455.0
62 461.0
61 462.0
58 466.0
57 468.0
56 472.0
54 474.0
53 483.0
49 486.0
48 488.0
47 492.0
46 507.0
45 519.0
44 521.0
43 532.0
42 555.0
41 581.0
40 594.0
39 602.0
37 618.0
36 634.0
34 638.0
33 642.0
32 659.0
31 665.0
30 671.0
29 698.0
28 703.0
27 706.0
26 720.0
25 723.0
24 730.0
23 735.0
22 766.0
21 807.0
20 817.0
19 896.0
18 1003.0
17 1118.0
16 1275.0
15 1353.0
14 1542.0
13 1685.0
